,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
4008,838575480629623639,Casa Madera,502027352,Bobbie,2023-02-20,within an hour,100%,100%,f,1,t,BYRON SHIRE COUNCIL,,-28.5072262,153.535039,Entire home,Entire home/apt,5,1.0,1 bath,3.0,3.0,$265.00,2,1125,2,2,1125,1125,2.0,1125.0,t,2,28,58,58,47,28,0,4.96,5.0,4.85,5.0,4.98,4.89,4.91,t,1,1,0
4011,839362375606469635,The Bask House,498452776,Nicole,2023-01-28,,,0%,f,1,f,TWEED SHIRE COUNCIL,,-28.3972,153.55952,Entire home,Entire home/apt,10,3.5,3.5 baths,4.0,4.0,"$1,350.00",5,365,5,5,365,365,5.0,365.0,t,0,0,0,11,2,2,0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,f,1,1,0
4033,844591065971665219,Hoop Pine Studio in Suffolk Park,504262549,Amanda,2023-03-07,within an hour,100%,99%,t,1,t,BYRON SHIRE COUNCIL,,-28.67781,153.60488,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,1.0,$131.00,2,28,1,2,28,28,1.4,28.0,t,3,20,46,46,118,82,5,4.91,4.92,4.91,4.97,4.97,4.9,4.86,f,1,0,1
4037,845885236969924257,Spirit Haven Sanctuary,505123632,Sarah,2023-03-12,,,,f,1,t,BYRON SHIRE COUNCIL,,-28.54256,153.37098,Entire place,Entire home/apt,4,1.0,1 bath,2.0,2.0,$429.00,4,7,4,4,7,7,4.0,7.0,t,23,53,83,358,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0
4039,846500084520144666,Apartment 14 @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.4373123,153.3653219,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,2.0,$556.00,2,365,2,2,3,3,2.0,3.0,t,5,17,41,259,0,0,0,,,,,,,,t,19,19,0
4042,846715779096712318,Avion Retreat - Glasshouses (Northern NSW),505304872,Shonnea,2023-03-14,within an hour,100%,97%,t,1,t,TWEED SHIRE COUNCIL,,-28.37987,153.14716,Entire villa,Entire home/apt,2,1.0,1 bath,1.0,1.0,$570.00,2,14,2,2,1125,1125,2.0,1125.0,t,17,45,66,337,39,30,2,5.0,5.0,5.0,5.0,5.0,5.0,4.97,t,1,1,0
4043,847233782670110919,Apartment 14a @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.4373123,153.3653219,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$490.00,2,365,2,2,3,3,2.0,3.0,t,5,19,43,263,0,0,0,,,,,,,,t,19,19,0
4044,847242435954612771,Apartment 14b @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.4373123,153.3653219,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$322.00,2,365,2,2,3,3,2.0,3.0,t,14,39,69,287,0,0,0,,,,,,,,t,19,19,0
4051,849393526276329700,Reef and Beef,505860573,Deborah,2023-03-17,within an hour,100%,61%,f,1,t,CLARENCE VALLEY COUNCIL,,-29.41044,153.353,Entire home,Entire home/apt,4,1.0,1 bath,2.0,3.0,$219.00,2,60,2,2,60,60,2.0,60.0,t,7,30,60,150,7,3,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0
4052,849603070062186547,2Turtles by the River,502379922,Tara,2023-02-22,within an hour,100%,98%,t,1,f,CLARENCE VALLEY COUNCIL,,-29.85428,153.26427,Entire home,Entire home/apt,5,1.0,1 bath,2.0,3.0,$271.00,2,1125,2,2,1125,1125,2.0,1125.0,t,1,26,43,318,61,34,2,4.97,4.97,4.95,4.98,5.0,4.93,4.93,f,1,1,0
