,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
6207,1307578614839304269,Bayshore Bungalow No. 11,664353848,Naomi,2024-11-28,within an hour,100%,100%,f,12,t,BYRON SHIRE COUNCIL,,-28.627567688633395,153.58568587782094,Entire cabin,Entire home/apt,4,1.0,1 bath,2.0,3.0,$550.00,3,28,3,3,1125,1125,3.0,1125.0,t,23,53,83,115,0,0,0,,,,,,,,t,12,12,0
6208,1307599397674350519,Bayshore Bungalow No. 12,664353848,Naomi,2024-11-28,within an hour,100%,100%,f,12,t,BYRON SHIRE COUNCIL,,-28.627742526370355,153.5864798057069,Entire cabin,Entire home/apt,4,1.0,1 bath,2.0,3.0,$550.00,3,28,3,3,1125,1125,3.0,1125.0,t,26,56,86,118,0,0,0,,,,,,,,t,12,12,0
6215,1307809070551601141,Bayshore Bungalow No.8,664353848,Naomi,2024-11-28,within an hour,100%,100%,f,12,t,BYRON SHIRE COUNCIL,,-28.62787422230592,153.58647745965084,Entire cabin,Entire home/apt,4,1.0,1 bath,2.0,3.0,$550.00,3,28,3,3,1125,1125,3.0,1125.0,t,26,56,86,118,0,0,0,,,,,,,,t,12,12,0
6221,1308268659060744883,Bayshore Bungalow No. 6,664353848,Naomi,2024-11-28,within an hour,100%,100%,f,12,t,BYRON SHIRE COUNCIL,,-28.629406316310636,153.58555574073125,Entire cabin,Entire home/apt,2,1.0,1 bath,1.0,1.0,$349.00,3,28,3,3,1125,1125,3.0,1125.0,t,23,53,83,115,0,0,0,,,,,,,,t,12,12,0
6224,1308305531493387180,Bayshore Bungalow No. 7,664353848,Naomi,2024-11-28,within an hour,100%,100%,f,12,t,BYRON SHIRE COUNCIL,,-28.627339531215902,153.5845001763389,Entire cabin,Entire home/apt,2,1.0,1 bath,1.0,1.0,$375.00,3,28,3,3,1125,1125,3.0,1125.0,t,26,56,86,118,0,0,0,,,,,,,,t,12,12,0
6225,1308398280931717000,Bayshore Bungalow No. 9,664353848,Naomi,2024-11-28,within an hour,100%,100%,f,12,t,BYRON SHIRE COUNCIL,,-28.628707134538473,153.58506004339762,Entire cabin,Entire home/apt,2,1.0,1 bath,1.0,1.0,$375.00,3,28,3,3,1125,1125,3.0,1125.0,t,26,56,86,118,0,0,0,,,,,,,,t,12,12,0
6230,1308545954457387204,Bayshore Bungalow No.2,664353848,Naomi,2024-11-28,within an hour,100%,100%,f,12,t,BYRON SHIRE COUNCIL,,-28.62784353020305,153.58445105134086,Entire cabin,Entire home/apt,2,1.0,1 bath,1.0,1.0,$375.00,3,28,3,3,1125,1125,3.0,1125.0,t,26,56,86,118,0,0,0,,,,,,,,t,12,12,0
6231,1308565790576965899,Bayshore Bungalow No.3,664353848,Naomi,2024-11-28,within an hour,100%,100%,f,12,t,BYRON SHIRE COUNCIL,,-28.627760342545137,153.58485901639995,Entire cabin,Entire home/apt,2,1.0,1 bath,1.0,1.0,$375.00,3,28,3,3,1125,1125,3.0,1125.0,t,24,54,84,116,0,0,0,,,,,,,,t,12,12,0
6232,1308574593661121534,Bayshore Bungalow No.4,664353848,Naomi,2024-11-28,within an hour,100%,100%,f,12,t,BYRON SHIRE COUNCIL,,-28.628686594881717,153.5843990702936,Entire cabin,Entire home/apt,2,1.0,1 bath,1.0,1.0,$375.00,3,28,3,3,1125,1125,3.0,1125.0,t,26,56,86,118,0,0,0,,,,,,,,t,12,12,0
6243,1310599322159916197,La Casita Studio,472492532,Camila,2022-07-31,,,,f,2,t,BALLINA SHIRE COUNCIL,,-28.8484748695905,153.44854626277996,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,$171.00,2,60,2,2,1125,1125,2.0,1125.0,t,29,29,41,181,0,0,0,,,,,,,,t,1,1,0
6245,1310716580562175377,Bayshore Bungalow No.14,664353848,Naomi,2024-11-28,within an hour,100%,100%,f,12,t,BYRON SHIRE COUNCIL,,-28.62913,153.58638,Entire cabin,Entire home/apt,4,1.0,1 bath,2.0,3.0,$600.00,3,28,1,3,1125,1125,3.0,1125.0,t,26,56,86,117,0,0,0,,,,,,,,t,12,12,0
