,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
3364,708874238596566499,High Tide on Park - Unit 2,106329043,North Coast Lifestyle Properties,2016-12-05,within a day,68%,66%,f,40,t,BYRON SHIRE COUNCIL,,-28.538846,153.550497,Entire vacation home,Entire home/apt,2,1.0,1 bath,1.0,1.0,$222.00,1,90,1,7,90,90,4.1,90.0,t,11,26,56,324,5,2,0,4.8,4.8,4.8,5.0,5.0,5.0,4.4,f,40,40,0
3365,708922746296769055,High Tide on Park - Unit 3,106329043,North Coast Lifestyle Properties,2016-12-05,within a day,68%,66%,f,40,t,BYRON SHIRE COUNCIL,,-28.53853,153.54979,Entire vacation home,Entire home/apt,3,1.0,1 bath,2.0,2.0,$249.00,1,90,1,7,90,90,4.1,90.0,t,0,4,21,283,4,1,0,4.75,4.75,4.0,5.0,4.25,5.0,4.5,f,40,40,0
3371,710982841399775529,Belongil Beach House,187404780,Byron Bay Luxury Homes,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.63372,153.59517,Entire villa,Entire home/apt,8,4.5,4.5 baths,3.0,3.0,"$3,000.00",3,1125,3,7,3,1125,3.6,45.1,t,12,12,26,301,2,0,0,5.0,5.0,4.5,3.5,5.0,5.0,5.0,f,58,58,0
3372,710983944337993242,Villa Gabrielle,187404780,Byron Bay Luxury Homes,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.64228,153.62469,Entire villa,Entire home/apt,8,4.5,4.5 baths,4.0,4.0,"$2,000.00",3,1125,3,7,3,1125,3.6,45.1,t,6,24,54,322,0,0,0,,,,,,,,f,58,58,0
3373,710984836434413055,Elouera,187404780,Byron Bay Luxury Homes,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.63877,153.62857,Entire villa,Entire home/apt,8,4.5,4.5 baths,4.0,4.0,"$3,100.00",3,1125,3,7,4,1125,4.3,50.0,t,4,28,53,295,0,0,0,,,,,,,,f,58,58,0
3399,716898151241763556,Alli 2,36591867,Karen,2015-06-24,within a day,100%,79%,f,3,t,BYRON SHIRE COUNCIL,,-28.6519,153.62096,Entire home,Entire home/apt,4,1.0,1 bath,2.0,3.0,$220.00,1,3,1,1,3,3,1.0,3.0,t,0,0,0,55,3,0,0,5.0,5.0,5.0,5.0,5.0,4.67,4.67,f,2,2,0
3405,719667646696414243,Ocean Vista's Guest Suite ~ Panoramic Ocean Views,201425692,Meg,2018-07-10,within a day,100%,100%,t,10,t,BYRON SHIRE COUNCIL,,-28.65538,153.62195,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,$560.00,4,180,2,7,180,180,3.0,180.0,t,0,0,0,245,1,0,0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,f,10,10,0
3406,719877468014308893,Lovely 2 bedroom unit - walk to beach,146536106,Jonny,2017-08-17,within a day,100%,100%,f,3,t,BYRON SHIRE COUNCIL,,-28.68672,153.60878,Entire rental unit,Entire home/apt,4,,2 baths,2.0,,,2,9,2,2,1125,1125,2.0,1125.0,t,0,0,0,1,3,1,0,5.0,5.0,4.67,5.0,5.0,4.67,5.0,f,2,1,1
3411,720620898005342239,Belongil Beach House & Cottage,187404780,Byron Bay Luxury Homes,2018-05-02,within a day,79%,96%,f,58,t,BYRON SHIRE COUNCIL,,-28.6329406,153.5982933,Entire home,Entire home/apt,14,5.0,5 baths,7.0,8.0,"$3,372.00",3,1125,3,7,3,1125,3.6,534.3,t,22,52,82,345,0,0,0,,,,,,,,t,58,58,0
3430,724236758838517003,Lakes Hideaway just mins to Gold Coast Beaches,145732092,Rama,2017-08-12,within a day,100%,40%,f,1,t,TWEED SHIRE COUNCIL,,-28.19268,153.50727,Entire home,Entire home/apt,4,,1 bath,2.0,,,30,90,5,7,90,90,6.1,90.0,t,0,0,0,0,17,3,0,4.71,4.76,4.65,5.0,5.0,4.59,4.65,f,1,1,0
