,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
1361,31296218,"King sized room, Pool in Sth Gld Beach Dogs OK",42666685,Lydia Anita,2015-08-27,within an hour,100.0,95%,f,7,t,BYRON SHIRE COUNCIL,,-28.49568,153.54359,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,87.0,2,1125,2,2,1125,1125,2.0,1125.0,t,4,34,64,326,15,5,0,4.4,4.6,4.4,4.67,4.67,4.73,4.47,f,4,0,4
1362,31315439,Guest house queen room 4- Byron hinterland,229496929,99 Acres Retreat,2018-12-06,within an hour,100.0,100%,t,9,f,BYRON SHIRE COUNCIL,,-28.68615,153.51587,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,396.0,1,30,1,1,30,30,1.0,30.0,t,14,44,71,158,55,3,0,4.96,5.0,5.0,4.91,4.95,4.98,4.91,t,9,4,5
1365,31317371,Guest house king room 1- Byron hinterland,229496929,99 Acres Retreat,2018-12-06,within an hour,100.0,100%,t,9,f,BYRON SHIRE COUNCIL,,-28.68582,153.51639,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,444.0,1,30,1,1,30,30,1.0,30.0,t,17,47,77,162,38,2,0,4.97,4.92,4.92,5.0,4.95,4.97,4.97,t,9,4,5
1366,31319434,Quiet Oasis Near The Sea,49955381,Johanna,2015-11-26,,,100%,f,1,t,BYRON SHIRE COUNCIL,,-28.52805,153.54022,Private room in home,Private room,2,,1.5 baths,,,,2,30,2,2,30,30,2.0,30.0,t,0,0,0,0,52,13,0,4.96,4.96,5.0,5.0,5.0,4.9,4.96,t,1,0,1
1370,31344168,Byron Spritz Flamingo Room + Private Ensuite,15499468,Val,2015-03-06,within an hour,100.0,97%,t,6,t,BYRON SHIRE COUNCIL,,-28.64462,153.55024,Private room in home,Private room,1,1.5,1.5 baths,1.0,2.0,125.0,2,1125,2,5,1125,1125,2.1,1125.0,t,9,35,49,139,86,7,1,4.94,4.98,5.0,4.95,4.93,4.81,4.9,f,5,1,4
1375,31392305,"Guest house king room 2- Bangalow,Byron hinterland",229496929,99 Acres Retreat,2018-12-06,within an hour,100.0,100%,t,9,f,BYRON SHIRE COUNCIL,,-28.68357,153.51672,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,471.0,1,14,1,1,14,14,1.0,14.0,t,24,54,75,161,5,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,9,4,5
1377,31446224,Pottsville For You,60005174,Margaret,2016-02-23,within an hour,100.0,91%,f,1,t,TWEED SHIRE COUNCIL,,-28.3946,153.56335,Private room in rental unit,Private room,2,1.0,1 shared bath,2.0,1.0,100.0,1,1125,1,1,1125,1125,1.0,1125.0,t,10,39,69,341,33,6,0,4.91,4.82,4.97,4.85,4.91,4.85,4.79,f,1,0,1
1381,31544930,Chill Out on the Hill,23230464,Jan,2014-11-02,within an hour,100.0,96%,t,1,t,LISMORE CITY COUNCIL,,-28.80608,153.29594,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,65.0,2,1125,2,2,1125,1125,2.0,1125.0,t,8,38,68,343,88,31,3,4.95,4.97,4.97,4.98,4.98,4.9,4.99,f,1,0,1
1384,31599526,Quiet single room with pool - PET FRIENDLY,42666685,Lydia Anita,2015-08-27,within an hour,100.0,95%,f,7,t,BYRON SHIRE COUNCIL,,-28.49603,153.54305,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,82.0,1,180,1,1,180,180,1.0,180.0,t,6,36,66,329,15,5,0,4.93,5.0,4.87,4.93,5.0,4.8,4.87,f,4,0,4
1389,31722348,Beach Side tranquility,25926402,Brenda,2015-01-11,,,,f,1,t,TWEED SHIRE COUNCIL,,-28.38585,153.55613,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,140.0,90,1125,90,90,1125,1125,90.0,1125.0,t,0,13,43,133,6,0,0,4.83,4.67,5.0,5.0,5.0,4.5,5.0,f,1,0,1
