,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
4530,979599609337229677,Tiny Grey Gum by Tiny Away,154813436,Tiny Away,2017-10-16,within an hour,100.0,100%,t,355,t,CLARENCE VALLEY COUNCIL,,-30.07789,152.94938,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,158.0,1,365,1,2,1125,1125,1.1,1125.0,t,17,47,74,343,37,34,1,4.95,4.95,4.97,4.84,4.97,4.89,4.84,t,16,16,0
4533,982128128538577271,Entire New Home Ballina Island,143057628,Lana,2017-07-28,within a few hours,100.0,100%,f,1,t,BALLINA SHIRE COUNCIL,,-28.86748654348024,153.56924630370486,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,150.0,2,14,2,2,14,14,2.0,14.0,t,5,35,65,142,6,5,0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,f,1,1,0
4535,982286034672099219,Enjoy the most breeze !,537494390,Danilo,2023-09-17,within a few hours,100.0,56%,f,1,t,TWEED SHIRE COUNCIL,,-28.18967,153.5397,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,4.0,159.0,2,15,2,2,15,15,2.0,15.0,t,0,6,19,114,3,3,1,4.67,4.33,5.0,5.0,5.0,4.67,5.0,f,1,1,0
4555,984393456333838001,Iluka Villa 10 - First National Holidays,162596032,First National,2017-12-13,within an hour,90.0,98%,f,94,t,CLARENCE VALLEY COUNCIL,,-29.40228,153.34639,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,3.0,133.0,2,1125,2,7,3,1125,3.6,38.8,t,1,24,37,304,0,0,0,,,,,,,,t,93,90,3
4567,988064654581741870,Principle room,5410708,Cameron,2013-03-11,within a few hours,100.0,33%,t,3,t,BYRON SHIRE COUNCIL,,-28.66008,153.61349,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,111.0,2,365,2,2,365,365,2.0,365.0,t,2,5,35,210,8,4,0,5.0,5.0,4.88,5.0,5.0,4.88,5.0,f,3,1,2
4577,989567879247421096,Byron Bay Hinterland Down To Earth Luxury,421950450,Katie,2021-09-07,,,100%,t,1,f,BALLINA SHIRE COUNCIL,,-28.79632,153.45525,Private room in bed and breakfast,Private room,2,1.0,1 private bath,1.0,1.0,180.0,90,365,90,90,365,365,90.0,365.0,t,0,0,0,132,10,8,0,5.0,4.9,4.8,4.9,5.0,4.9,4.9,t,1,0,1
4609,995572312957515345,Resort One Bedroom Apartment Coolangatta,540499067,Lavina,2023-10-05,within an hour,100.0,85%,t,2,t,TWEED SHIRE COUNCIL,,-28.1693691,153.5427132,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,182.0,3,14,2,7,14,14,3.0,14.0,t,0,9,28,74,68,61,2,4.97,4.96,4.94,4.81,5.0,4.99,4.82,f,2,2,0
4612,995854794411627810,Casuarina Cove,416567130,Holiday,2021-08-02,within an hour,96.0,100%,f,177,t,TWEED SHIRE COUNCIL,,-28.3145747,153.5691605,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,152.0,2,365,2,4,99,99,3.2,99.0,t,26,56,86,361,14,13,5,4.36,4.29,4.71,4.43,4.79,4.79,4.29,t,175,174,1
4613,995908346071037000,Kieren Beach Studio Unit 5,162596032,First National,2017-12-13,within an hour,90.0,98%,f,94,t,CLARENCE VALLEY COUNCIL,,-29.43743,153.36332,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,177.0,2,1125,2,6,3,1125,3.4,38.8,t,13,33,63,338,0,0,0,,,,,,,,t,93,90,3
4640,1003399801292841283,Brush Box Retreat,57951092,Patsy,2016-02-08,within an hour,100.0,92%,t,1,t,TWEED SHIRE COUNCIL,,-28.29059,153.39717,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,1.0,131.0,2,28,2,2,28,28,2.0,28.0,t,10,30,60,133,39,34,5,5.0,4.95,5.0,5.0,4.97,5.0,4.97,f,1,0,1
