,Unnamed: 0,id,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2274,2274,46974275,44875943,2015-09-22,within a day,80%,39%,f,1,t,TWEED SHIRE COUNCIL,,-28.39274,153.56475,Entire townhouse,Entire home/apt,6,1.5 baths,3.0,3.0,$400.00,3,28,3,3,28,28,3.0,28.0,t,7,25,25,272,16,5,0,2020-12-31,2024-04-28,5.0,4.94,4.81,4.94,4.94,4.94,4.88,1,1,0,0,0.33
2293,2293,47210254,381283206,2020-12-23,within a day,100%,100%,t,1,t,BALLINA SHIRE COUNCIL,,-28.82632,153.54029,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,$110.00,2,10,2,2,10,10,2.0,10.0,t,0,0,14,100,132,13,0,2021-01-03,2024-04-20,4.9,4.92,4.89,4.97,4.95,4.81,4.92,1,1,0,0,2.74
2326,2326,47759361,45422770,2015-09-30,within a day,100%,89%,f,1,f,CLARENCE VALLEY COUNCIL,,-29.42484,153.33531,Entire home,Entire home/apt,4,2 baths,2.0,3.0,$297.00,2,1125,2,2,1125,1125,2.0,1125.0,t,11,41,71,346,40,4,1,2021-03-07,2024-12-01,4.83,4.93,4.85,4.95,4.93,4.8,4.75,1,1,0,0,0.87
2344,2344,47908531,375049004,2020-11-09,within a day,80%,63%,f,1,t,BYRON SHIRE COUNCIL,,-28.56111,153.43686,Entire villa,Entire home/apt,6,4.5 baths,3.0,3.0,$750.00,3,730,3,3,730,730,3.0,730.0,t,6,18,48,138,9,9,1,2024-03-31,2024-11-25,4.78,4.78,4.67,5.0,5.0,5.0,4.56,1,1,0,0,1.04
2347,2347,47942153,55589930,2016-01-21,within a day,50%,100%,f,1,t,CLARENCE VALLEY COUNCIL,,-29.61114,153.33876,Entire home,Entire home/apt,12,3 baths,5.0,9.0,$700.00,90,730,1,2,1125,1125,2.0,1125.0,t,9,36,66,322,56,16,1,2021-03-15,2024-11-23,4.63,4.54,4.54,4.82,4.7,4.93,4.32,1,1,0,0,1.22
2371,2371,48273974,54580776,2016-01-14,within a day,100%,33%,f,1,t,BYRON SHIRE COUNCIL,,-28.55337,153.48907,Entire home,Entire home/apt,4,1 bath,2.0,2.0,$364.00,2,31,2,2,31,31,2.0,31.0,t,0,12,42,42,12,2,0,2021-03-30,2024-01-09,4.83,4.75,4.92,5.0,5.0,4.75,4.5,1,1,0,0,0.27
2386,2386,48430396,390907540,2021-03-03,within a day,50%,,f,1,t,TWEED SHIRE COUNCIL,,-28.19989,153.52593,Private room in home,Private room,2,Shared half-bath,1.0,1.0,$95.00,1,365,1,1,365,365,1.0,365.0,,29,59,89,269,0,0,0,,,,,,,,,,1,0,1,0,
2388,2388,48473281,104424846,2016-11-20,within a day,100%,61%,f,1,t,TWEED SHIRE COUNCIL,,-28.22582,153.41492,Farm stay,Entire home/apt,16,3 baths,7.0,9.0,"$2,800.00",2,1125,2,2,1125,1125,2.0,1125.0,t,5,15,15,225,113,28,2,2021-05-01,2024-11-24,4.96,4.98,4.87,4.96,4.94,4.94,4.8,1,1,0,0,2.56
2393,2393,48534321,391606854,2021-03-07,within a day,100%,33%,f,1,t,CLARENCE VALLEY COUNCIL,,-29.47906,153.35931,Entire townhouse,Entire home/apt,4,2 baths,2.0,2.0,$700.00,3,7,3,3,7,7,3.0,7.0,t,20,42,72,72,30,2,0,2021-04-04,2024-01-11,4.83,4.77,4.7,5.0,4.9,4.97,4.73,1,1,0,0,0.67
2413,2413,48759295,393347212,2021-03-20,within a day,67%,46%,f,2,t,BYRON SHIRE COUNCIL,,-28.63918,153.60674,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,$692.00,1,90,3,3,90,90,3.0,90.0,t,1,1,7,189,32,2,0,2021-04-01,2024-08-25,4.84,4.78,4.94,5.0,4.84,4.84,4.66,2,2,0,0,0.71
2441,2441,49117207,20133698,2014-08-16,within a day,50%,69%,f,8,t,BYRON SHIRE COUNCIL,,-28.54206,153.54782,Entire home,Entire home/apt,4,1 bath,2.0,2.0,$520.00,1,90,1,7,90,90,3.6,90.0,t,2,20,26,219,19,1,0,2021-05-03,2024-09-10,4.63,4.74,4.79,4.68,4.58,4.89,4.21,8,8,0,0,0.43
2460,2460,49509046,22869256,2014-10-23,within a day,100%,97%,t,1,t,RICHMOND VALLEY COUNCIL,,-28.81975,153.06735,Private room in home,Private room,2,1 private bath,1.0,1.0,$100.00,1,1125,1,1,1125,1125,1.0,1125.0,t,28,58,88,88,59,5,1,2021-05-22,2024-11-26,4.97,5.0,4.97,4.95,4.98,4.92,4.93,1,0,1,0,1.36
2489,2489,50178951,168963236,2018-01-20,within a day,67%,50%,f,1,f,BYRON SHIRE COUNCIL,,-28.68423,153.606,Entire home,Entire home/apt,8,2 baths,4.0,4.0,$693.00,2,28,2,2,28,28,2.0,28.0,t,14,44,74,344,1,0,0,2022-01-02,2022-01-02,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.03
